model,row_index,token,shap_value,abs_shap_value
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,0,[''],-0.000385660445317626,0.000385660445317626
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
single_task_transformer,1,[''],-0.0010997767496684736,0.0010997767496684736
