model,task,F1_pos,PR_AUC,pred_pos_rate,true_pos_rate
logreg,Q_overall,0.42214532871972316,0.41384687139306336,0.30616883116883115,0.35064935064935066
single_task,Q_overall,0.5433324531291259,0.6603985736224899,0.22357432593653065,0.3411775232641374
multi2,Q_overall,0.46873830026207414,0.36556883730241674,0.4779212976869931,0.3244217482727546
multi2,Q2_harmful,0.4255639097744361,0.3447166225195754,0.22258936617602884,0.17693000901171524
multi4,Q_overall,0.46105919003115264,0.36959624953764975,0.4469810753980174,0.3244217482727546
multi4,Q2_harmful,0.4143258426966292,0.4217817739282934,0.25082607389606487,0.17693000901171524
multi4,Q3_bias,0.3218707015130674,0.20119471457069008,0.3388404926404326,0.09792730549714629
multi4,Q6_policy,0.28191072826938135,0.16291574326137384,0.28326824872334033,0.10033042955842596
