model,row_index,token,shap_value,abs_shap_value
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,0,[''],-0.00038565555587410927,0.00038565555587410927
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,1,[''],-0.001099766418337822,0.001099766418337822
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,2,[''],0.00028380309231579304,0.00028380309231579304
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,3,[''],-0.0005820589140057564,0.0005820589140057564
single_task_transformer,4,[''],-6.350269541144371e-05,6.350269541144371e-05
single_task_transformer,4,[''],-6.350269541144371e-05,6.350269541144371e-05
single_task_transformer,4,[''],-6.350269541144371e-05,6.350269541144371e-05
